objectid,ccdd,ccpp,ccdi,ubigeo,nombdist,fuente,periodo,ccdd_c,ccpp_c,ccdi_c,fec_reg
840,09,02,03,090203,ANTA,V Censo Nacional Economico,1,090,01,00,2022-07-22T01:39:29Z
1,01,01,01,010101,CHACHAPOYAS,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
6,01,01,06,010106,CHUQUIBAMBA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
28,01,03,01,010301,JUMBILLA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
45,01,05,03,010503,COCABAMBA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
10,01,01,10,010110,LEIMEBAMBA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
470,05,03,04,050304,SANTIAGO DE LUCANAMARCA,V Censo Nacional Economico,1,050,01,00,2022-07-22T01:39:29Z
19,01,01,19,010119,SAN ISIDRO DE MAINO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
490,05,05,07,050507,SANTA ROSA,V Censo Nacional Economico,1,050,02,00,2022-07-22T01:39:29Z
491,05,05,08,050508,TAMBO,V Censo Nacional Economico,1,050,02,00,2022-07-22T01:39:29Z
492,05,05,09,050509,SAMUGARI,V Censo Nacional Economico,1,050,02,00,2022-07-22T01:39:29Z
493,05,05,10,050510,ANCHIHUAY,V Censo Nacional Economico,1,050,02,00,2022-07-22T01:39:29Z
494,05,05,11,050511,ORONCCOY,V Censo Nacional Economico,1,050,02,00,2022-07-22T01:39:29Z
1723,21,09,02,210902,CONIMA,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
21,01,01,21,010121,SONCHE,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
54,01,05,12,010512,OCALLI,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
33,01,03,06,010306,FLORIDA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1745,21,12,10,211210,SAN PEDRO DE PUTINA PUNCO,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1768,22,03,04,220304,SANTA ROSA,V Censo Nacional Economico,1,22A,01,00,2022-07-22T01:39:29Z
39,01,03,12,010312,YAMBRASBAMBA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
47,01,05,05,010505,CONILA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1425,15,09,01,150901,OYON,V Censo Nacional Economico,1,15A,01,00,2022-07-22T01:39:29Z
77,01,06,12,010612,VISTA ALEGRE,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
78,01,07,01,010701,BAGUA GRANDE,V Censo Nacional Economico,1,010,03,00,2022-07-22T01:39:29Z
79,01,07,02,010702,CAJARURO,V Censo Nacional Economico,1,010,03,00,2022-07-22T01:39:29Z
59,01,05,17,010517,SAN FRANCISCO DEL YESO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
60,01,05,18,010518,SAN JERONIMO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
85,02,01,01,020101,HUARAZ,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
64,01,05,22,010522,TINGO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
67,01,06,02,010602,CHIRIMOTO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
68,01,06,03,010603,COCHAMAL,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
70,01,06,05,010605,LIMABAMBA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
71,01,06,06,010606,LONGAR,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
89,02,01,05,020105,INDEPENDENCIA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
92,02,01,08,020108,OLLEROS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
93,02,01,09,020109,PAMPAS GRANDE,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
94,02,01,10,020110,PARIACOTO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
102,02,03,01,020301,LLAMELLIN,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
103,02,03,02,020302,ACZO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
107,02,03,06,020306,SAN JUAN DE RONTOY,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
110,02,05,01,020501,CHIQUIAN,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
113,02,05,04,020504,AQUIA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
114,02,05,05,020505,CAJACAY,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
116,02,05,07,020507,COLQUIOC,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
117,02,05,08,020508,HUALLANCA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
118,02,05,09,020509,HUASTA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
121,02,05,12,020512,MANGAS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
122,02,05,13,020513,PACLLON,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
125,02,06,01,020601,CARHUAZ,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
130,02,06,06,020606,MARCARA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
132,02,06,08,020608,SAN MIGUEL DE ACO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
136,02,07,01,020701,SAN LUIS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
139,02,08,01,020801,CASMA,V Censo Nacional Economico,1,02B,03,00,2022-07-22T01:39:29Z
140,02,08,02,020802,BUENA VISTA ALTA,V Censo Nacional Economico,1,02B,03,00,2022-07-22T01:39:29Z
26,01,02,05,010205,IMAZA,V Censo Nacional Economico,1,010,02,00,2022-07-22T01:39:29Z
141,02,08,03,020803,COMANDANTE NOEL,V Censo Nacional Economico,1,02B,03,00,2022-07-22T01:39:29Z
142,02,08,04,020804,YAUTAN,V Censo Nacional Economico,1,02B,03,00,2022-07-22T01:39:29Z
146,02,09,04,020904,CUSCA,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
147,02,09,05,020905,LA PAMPA,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
150,02,10,01,021001,HUARI,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
212,02,16,03,021603,PAROBAMBA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
213,02,16,04,021604,QUINUABAMBA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
214,02,17,01,021701,RECUAY,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
215,02,17,02,021702,CATAC,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
216,02,17,03,021703,COTAPARACO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
217,02,17,04,021704,HUAYLLAPAMPA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
152,02,10,03,021003,CAJAY,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
153,02,10,04,021004,CHAVIN DE HUANTAR,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
155,02,10,06,021006,HUACCHIS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
156,02,10,07,021007,HUACHIS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
157,02,10,08,021008,HUANTAR,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
159,02,10,10,021010,PAUCAS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
