año,total,hombres,mujeres
2025,34360.2,17028.1,17328.1
2024,34035.9,16975.2,17060.8
2023,33725.8,16727,16998.8
2022,33396.6,16569.6,16827
2021,33035.3,16395.7,16643.6
2020,32625,16183.3,16387.2
2019,32495.5,16149.4,16224.1
2018,32182.2,16105,16077.2
2017,31826,15929.1,15886.9
2016,31488.4,15773.2,15715.2
2015,31151.6,15605.8,15545.8
2014,30817,15464.2,15302.9
2013,30517,15189.7,15327.1
2012,30142.1,14998.1,15144
2011,29797.7,14817.9,14979.8
2010,29461.9,14666.8,14795.1
2009,29105.7,14473.6,14632.1
2008,28652,14250.6,14401.4
2007,28220.8,14025.7,14195.1
2006,27737.2,13666.9,13710.3
2005,27219.3,13570.5,13608.9
2004,26765,13257.4,13389.2
2003,26314.1,13064.1,13207
2002,25860.5,12859.3,13489.7
