,,,CREACIÓN,,MODIFICACIÓN,,,,
CATEGORIAS,CÓDIGO,CATEGORIAS,BASE LEGAL,FECHA PROMULGACIÓN,BASE LEGAL,FECHA PROMULGACIÓN,UBICACIÓN POLITICA,EXTENSION  (ha),
PARQUES NACIONALES         (15),PN 01,de Cutervo,LEY Nº 13694,08.09.1961,LEY Nº 28860,03.08.2006,CAJAMARCA,"8,214.23",
PARQUES NACIONALES         (15),PN 02,de Tingo María,LEY Nº 15574,14.05.1965,,,HUANUCO,"4,777.00",
PARQUES NACIONALES         (15),PN 03,del Manu,D.S. Nº 644-1973-AG,29.05.1973,D.S. Nº 045-2002-AG,11.07.2002,CUSCO y MADRE DE DIOS,"1,716,295.22",
PARQUES NACIONALES         (15),PN 04,Huascarán,D.S. Nº 0622-1975-AG,01.07.1975,,,ANCASH,"340,000.00",
PARQUES NACIONALES         (15),PN 05,Cerros de Amotape,D.S. Nº 0800-1975-AG,22.07.1975,D.S. Nº 046-2006-AG; Ley N°30359,07.07.2006 / 11.11.2015,TUMBES y PIURA,"151,767.49",
PARQUES NACIONALES         (15),PN 06,del Río Abiseo,D.S. Nº 064-1983-AG,11.08.1983,,,SAN MARTIN,"274,520.00",
PARQUES NACIONALES         (15),PN 07,Yanachaga - Chemillén,D.S. Nº 068-1986-AG,29.08.1986,,,PASCO,"122,000.00",
PARQUES NACIONALES         (15),PN 08,Bahuaja - Sonene,D.S. Nº 012-1996-AG,17.07.1996,D.S. Nº 048-2000-AG,04.09.2000,MADRE DE DIOS y PUNO,"1,091,416.00",
PARQUES NACIONALES         (15),PN 09,Cordillera Azul,D.S. Nº 031-2001-AG,21.05.2001,,,"SAN MARTIN, LORETO, UCAYALI y HUANUCO","1,353,190.85",
PARQUES NACIONALES         (15),PN 10,Otishi,D.S. Nº 003-2003-AG,14.01.2003,D.S. Nº 021-2003-AG,30.05.2003,JUNIN y CUSCO,"305,973.05",
PARQUES NACIONALES         (15),PN 11,Alto Purús,D.S. Nº 040-2004-AG,18.11.2004,,,UCAYALI y MADRE DE DIOS,"2,510,694.41",
PARQUES NACIONALES         (15),PN 12,Ichigkat Muja - Cordillera del Cóndor,D.S. Nº 023-2007-AG,09.08.2007,,,AMAZONAS,"88,477.00",
PARQUES NACIONALES         (15),PN 13,Güeppí-Sekime,D.S. Nº 006-2012-MINAM,25.10.2012,,25.10.2012,LORETO,"203,628.51",
