UBIGEO	DEPARTAMENTO	PROVINCIA	ÁMBITO	TIPO DE PLAN	ESTADO	O.M.
2006	PIURA	SULLANA	SULLANA	PAT	Aprobado	NA
2006	PIURA	SULLANA	Sullana	PDU	Aprobado	NA
2001	PIURA	PIURA	Tambo Grande	PDU	Aprobado	NA
1506	LIMA	HUARAL	Chancay	PAT	Terminado	NA
2001	PIURA	PIURA	Cura Mori-El Tallán	PDU	Aprobado	NA
1401	LAMBAYEQUE	CHICLAYO	Cayaltí-Saña	PDU	Aprobado	NA
2001	PIURA	PIURA	Las Lomas	PDU	Aprobado	NA
2008	PIURA	SECHURA	Sechura	PDU	Aprobado	NA
2004	PIURA	MORROPON	La Matanza	PDU	Aprobado	NA
2004	PIURA	MORROPON	Morropon	PDU	Aprobado	NA
1312	LA LIBERTAD	VIRÚ	VIRÚ	PAT	Aprobado	NA
2007	PIURA	TALARA	MANCORA	PDU	Terminado	NA
2004	PIURA	MORROPON	MORROPON	PAT	Aprobado	NA
1302	LA LIBERTAD	ASCOPE	ASCOPE	PAT	Aprobado	NA
1304	LA LIBERTAD	CHEPÉN	CHEPÉN	PAT	Aprobado	NA
1310	LA LIBERTAD	SANTIAGO DE CHUCO	SANTIAGO DE CHUCO	PAT	Aprobado	NA
1401	LAMBAYEQUE	CHICLAYO	Chiclayo- Lambayeque	PDM	Aprobado	NA
1310	LA LIBERTAD	SANTIAGO DE CHUCO	Santiago de Chuco	PDU	Aprobado	NA
1304	LA LIBERTAD	CHEPÉN	Chepén	PDU	Aprobado	NA
1201	JUNIN (*)	HUANCAYO	MULTIDISTRITAL	PDM	Aprobado	NA
1312	LA LIBERTAD	VIRÚ	Virú	PDU	Aprobado	NA
1312	LA LIBERTAD	VIRÚ	Chao	PDU	Aprobado	NA
2004	PIURA	MORROPON	Chulucanas	PDU	Aprobado	NA
104	AMAZONAS	CONDORCANQUI	EL CENEPA	EU	Aprobado	NA
2005	PIURA	PAITA	Paita	PDU	Terminado	NA
1403	LAMBAYEQUE	LAMBAYEQUE	Morrope	PDU	Aprobado	NA
1402	LAMBAYEQUE	FERREÑAFE	Ferreñafe	PDU	Aprobado	NA
104	AMAZONAS	CONDORCANQUI	RÍO SANTIAGO	EU	Aprobado	NA
301	APURIMAC	ABANCAY	Ccoc-Hua	EU	Aprobado	NA
502	AYACUCHO	CANGALLO	LOS MOROCHUCOS	EU	Aprobado	NA
301	APURIMAC	ABANCAY	San Juan de Dios - Pisoynapata	EU	Aprobado	NA
104	AMAZONAS	CONDORCANQUI	NIEVA	PDU	Aprobado	NA
218	ANCASH	SANTA	Chimbote-Nuevo Chimbote	PDU	Aprobado	NA
1302	LA LIBERTAD	ASCOPE	Casa Grande	PDU	Aprobado	NA
2006	PIURA	SULLANA	Querecotillo	PDU	Aprobado	NA
1506	LIMA	HUARAL	Huaral - Aucallama	PAT	Terminado	NA
2001	PIURA	PIURA	La Arena - La Unión - Vice	PDU	Aprobado	NA
1401	LAMBAYEQUE	CHICLAYO	Tumán	PDU	Terminado	NA
211	ANCASH	HUARMEY	HUARMEY	PAT	Aprobado	NA
1302	LA LIBERTAD	ASCOPE	Chicama	PDU	Aprobado	NA
2101	PUNO	PUNO	Puno	PAT	En proceso	NA
609	CAJAMARCA	SAN IGNACIO	San Ignacio	PDU	Aprobado	NA
301	APURIMAC	ABANCAY	Curahuasi	PDU	Aprobado	NA
1101	ICA	ICA	ICA	PAT	Aprobado	NA
1403	LAMBAYEQUE	LAMBAYEQUE	Jayanca	PDU	Aprobado	NA
1502	LIMA	BARRANCA	Paramonga	PDU	Aprobado	NA
1403	LAMBAYEQUE	LAMBAYEQUE	Mochumi	PDU	Terminado	NA
201	ANCASH	HUARAZ	HUARAZ	PAT	Aprobado	NA
2401	TUMBES	TUMBES	TUMBES	PAT	Aprobado	NA
1307	LA LIBERTAD	PACASMAYO	PACASMAYO	PAT	Aprobado	NA
1401	LAMBAYEQUE	CHICLAYO	CHICLAYO	PAT	Aprobado	NA
501	AYACUCHO	HUAMANGA	Huamanga	PAT	Aprobado	NA
1403	LAMBAYEQUE	LAMBAYEQUE	LAMBAYEQUE	PAT	Terminado	NA
301	APURIMAC	ABANCAY	Saywite - San Luis	EU	Aprobado	NA
1403	LAMBAYEQUE	LAMBAYEQUE	Motupe	PDU	Aprobado	NA
813	CUSCO	URUBAMBA	Chinchero	PDU	Aprobado	NA
1006	HUÁNUCO	LEONCIO PRADO	LEONCIO PRADO	PAT	Aprobado	NA
211	ANCASH	HUARMEY	Huarmey	PDU	Aprobado	NA
609	CAJAMARCA	SAN IGNACIO	SAN IGNACIO	PAT	Aprobado	NA
1401	LAMBAYEQUE	CHICLAYO	Picsi	PDU	Aprobado	NA
2202	SAN MARTIN	BELLAVISTA	BELLAVISTA	PDU	Aprobado	NA
2203	SAN MARTIN	EL DORADO	SAN JOSE DE SISA	PDU	Aprobado	NA
2207	SAN MARTIN	PICOTA	PICOTA	PDU	Aprobado	NA
2206	SAN MARTIN	MARISCAL CACERES	JUANJUI	PDU	Aprobado	NA
809	CUSCO	LA CONVENCIÓN	Kimbiri	PDU	Aprobado	NA
1803	MOQUEGUA	ILO	Ilo	PDU	Aprobado	NA
2101	PUNO	PUNO	Puno	PDU	En proceso	NA
701	CALLAO (Prov. Constitucional)	CALLAO	CALLAO	PDM	Aprobado	NA
1307	LA LIBERTAD	PACASMAYO	Ciudad de Dios	PDU	Aprobado	NA
2402	TUMBES	CONTRALMIRANTE VILLAR	Cancas-Punta Sal	PDU	Aprobado	NA
218	ANCASH	SANTA	SANTA	PAT	Aprobado	NA
1307	LA LIBERTAD	PACASMAYO	San Pedro de Lloc	PDU	Aprobado	NA
2001	PIURA	PIURA	PIURA	PAT	Aprobado	NA
2401	TUMBES	TUMBES	San Pedro de los Incas	PDU	Aprobado	NA
1101	ICA	ICA	Ica	PDU	Aprobado	NA
1506	LIMA	HUARAL	Pampa Libre	PDU	Aprobado	NA
1302	LA LIBERTAD	ASCOPE	Paijan	PDU	Aprobado	NA
2401	TUMBES	TUMBES	Caleta la Cruz	PDU	Aprobado	NA
1401	LAMBAYEQUE	CHICLAYO	Oyotun	PDU	Aprobado	NA
1001	HUÁNUCO	HUÁNUCO	HUÁNUCO	PDU	Aprobado	NA
220	ANCASH	YUNGAY	YUNGAY	PDU	Aprobado	NA
1901	PASCO	PASCO	PASCO	PAT	Aprobado	NA
809	CUSCO	LA CONVENCIÓN	Quellouno	EU	Aprobado	NA
2001	PIURA	PIURA	Piura - Catacaos - Castilla - 26 de Octubre	PDM		NA
809	CUSCO	CONVENCION	Quillabamba	PDU	Aprobado	NA
101	AMAZONAS	CHACHAPOYAS	CHACHAPOYAS	PAT	Terminado	NA
2007	PIURA	TALARA	EL ALTO	PDU	Aprobado	NA
202	ANCASH	YUNGAY	YUNGAY	PAT	Aprobado	NA
1302	LA LIBERTAD	ASCOPE	Chocope	PDU	Aprobado	NA
809	CUSCO	LA CONVENCIÓN	Chancamayo	EU	Aprobado	NA
813	CUSCO	URUBAMBA	Machupicchu	EU	Aprobado	NA
1302	LA LIBERTAD	ASCOPE	Ascope	PDU	Aprobado	NA
809	CUSCO	LA CONVENCIÓN	Quesqueñito	EU	Aprobado	NA
1001	HUÁNUCO	HUÁNUCO	HUÁNUCO	PAT	En proceso	NA
407	AREQUIPA	ISLAY	islay	PAT	Aprobado	NA
1302	LA LIBERTAD	ASCOPE	Roma	PDU	Aprobado	NA
407	AREQUIPA	ISLAY	Mollendo	PDU	Aprobado	NA
1506	LIMA	HUARAL	HUARAL	PAT	Aprobado	NA
2402	TUMBES	CONTRALMIRANTE VILLAR	CONTRALMIRANTE VILLAR	PAT	Aprobado	NA
1301	LA LIBERTAD	TRUJILLO	Trujillo	PDM	Aprobado	NA
2401	TUMBES	TUMBES	Tumbes-Puerto Pizarro	PDU	Aprobado	NA
218	ANCASH	SANTA	Santa-Coishco	PDU	Aprobado	NA
1506	LIMA	HUARAL	HUARAL (2024)	PAT	Terminado	NA
1301	LA LIBERTAD	TRUJILLO	TRUJILLO	PAT	Aprobado	NA
1901	PASCO	PASCO	Cerro de Pasco, Colquijirca, Villa de Pasco, Shelby y Vicco	PDU	Aprobado	NA
501	AYACUCHO	HUAMANGA	Ayacucho	PDU	Aprobado	NA
1402	LAMBAYEQUE	FERREÑAFE	FERREÑAFE	PAT	Aprobado	NA
1502	LIMA	BARRANCA	BARRANCA	PAT	Aprobado	NA
2008	PIURA	SECHURA	SECHURA	PAT	Terminado	NA
1401	LAMBAYEQUE	CHICLAYO	Pucalá-Huaca Rajada	PDU	Terminado	NA
104	AMAZONAS	CONDORCANQUI	CONDORCANQUI	PAT	Aprobado	NA
2005	PIURA	PAITA	PAITA	PAT	Aprobado	NA
1501	LIMA	LIMA	LIMA	PDM	Aprobado	NA
