anio,hombres,mujeres
2025,17028.1,17328.1
2024,16975.2,17060.8
2023,16727,16998.8
2022,16569.6,16827
2021,16395.7,16643.6
2020,16183.3,16387.2
2019,16149.4,16224.1
2018,16105,16077.2
2017,15929.1,15886.9
2016,15773.2,15715.2
2015,15605.8,15545.8
2014,15464.2,15302.9
2013,15189.7,15327.1
2012,14998.1,15144
2011,14817.9,14979.8
2010,14666.8,14795.1
2009,14473.6,14632.1
2008,14250.6,14401.4
2007,14025.7,14195.1
2006,13666.9,13710.3
2005,13570.5,13608.9
2004,13257.4,13389.2
2003,13064.1,13207
2002,12859.3,13489.7
