VARIABLE / INDICADOR,Absoluto,%
Población total 2017,10647,-
Población en Edad de trabajar (14 y más años),7695,72.3
Población total en edad electoral (18 a 70 años),6511,61.2
Población total 2017 masculina,5161,48.5
Población total 2017 femenina,5486,51.5
Relación de masculinidad (h/m),94.07583,-
Población urbana,10647,100
Población rural,-,-
Población de 0 a 14 años,3169,29.8
Población de 15 a 29 años,3002,28.2
Población de 30 a 59 años,3676,34.5
Población de 60 y más años,799,7.5
Población analfabeta,481,6.4
Hombres analfabetos,84,2.4
Mujeres analfabetas,396,10.1
Mujeres en edad fértil (15 a 49 años),3052,55.6
Total de madres,2854,-
Madres solteras,197,6.9
Mujeres adolescentes (12 a 19 años),824,-
Madres adolescentes (12 a 19 años),68,8.300000000000001
Con al menos una discapacidad,925,8.699999999999999
Sin discapacidad,9722,91.3
Viviendas particulares,2866,-
Viviendas particulares con ocupantes presentes,2166,75.59999999999999
Hogares,2797,-
