VARIABLE / INDICADOR,Absoluto,%
Población total 2017,2468,-
Población en Edad de trabajar (14 y más años),1947,78.90000000000001
Población total en edad electoral (18 a 70 años),1570,63.6
Población total 2017 masculina,1220,49.4
Población total 2017 femenina,1247,50.5
Relación de masculinidad (h/m),97.8348,-
Población urbana,2468,100
Población rural,-,-
Población de 0 a 14 años,566,22.9
Población de 15 a 29 años,643,26.1
Población de 30 a 59 años,865,35
Población de 60 y más años,392,15.9
Población analfabeta,264,13.9
Hombres analfabetos,50,5.3
Mujeres analfabetas,213,22.1
Mujeres en edad fértil (15 a 49 años),596,47.8
Total de madres,689,-
Madres solteras,19,2.8
Mujeres adolescentes (12 a 19 años),173,-
Madres adolescentes (12 a 19 años),7,4
Con al menos una discapacidad,140,5.7
Sin discapacidad,2328,94.3
Viviendas particulares,1064,-
Viviendas particulares con ocupantes presentes,676,63.5
Hogares,730,-
